day,solution
1,nieve
2,hueso
3,hueso
4,flujo
5,disco
6,razon
7,mural
8,abril
9,vejez
10,falso
11,cañon
12,obeso
13,obeso
14,avena
15,rubia
16,pieza
17,pieza
18,noche
19,bingo
20,corto
21,multa
22,nieto
23,dieta
24,dieta
25,nadal
26,lider
27,cerco
28,rocio
29,apoyo
30,apoyo
31,ganar
32,besar
33,novio
34,albur
35,litio
36,llaga
37,rueda
38,corta
39,feliz
40,miope
41,mojar
42,cesta
43,soplo
44,nueve
45,radio
46,sexto
47,sucio
48,papel
49,huevo
50,polar
51,rotar
52,fuego
53,lucir
54,macho
55,braza
56,serio
57,libra
58,enano
59,salsa
60,ciego
61,mujer
62,sauna
63,malta
64,civil
65,flota
66,chile
67,acudo
68,modas
69,criar
70,hurto
71,latir
72,risas
73,ganso
74,suiza
75,otoño
76,suelo
77,exito
78,caber
79,epica
80,perra
81,juego
82,igneo
83,ingle
84,mango
85,caida
86,doler
87,album
88,sudar
89,duque
90,curro
91,musgo
92,varon
93,crear
94,carne
95,ovulo
96,nivel
97,villa
98,moral
99,parte
100,anexo
101,tapiz
102,fecha
103,sesgo
104,ligar
105,chino
106,patio
107,votar
108,torso
109,avion
110,dudar
111,forja
112,odiar
113,utero
114,cauce
115,hogar
116,relax
117,yelmo
118,regla
119,marzo
120,cairo
121,aereo
122,negro
123,modal
124,caldo
125,museo
126,abrir
127,laser
128,signo
129,nariz
130,peine
131,turno
132,coche
133,pleno
134,fibra
135,faena
136,sitio
137,balsa
138,ambar
139,recta
140,aquel
141,impar
142,tonto
143,tirar
144,caras
145,fluir
146,japon
147,lugar
148,coger
149,traza
150,tibio
151,tenis
152,monto
153,curva
154,oveja
155,rumor
156,sobra
157,helio
158,abaco
159,gallo
160,trama
161,moler
162,barro
163,bando
164,lista
165,terna
166,claro
167,burla
168,salir
169,magia
170,boxeo
171,combo
172,arepa
173,dolar
174,rifar
175,ideal
176,cinco
177,cenar
178,selva
179,rayon
180,tigre
181,opera
182,clave
183,arpon
184,karma
185,subir
186,banda
187,cavar
188,tenaz
189,prima
190,cerda
191,arder
192,pañal
193,mixta
194,limon
195,buena
196,espia
197,horno
198,aguda
199,polea
200,sifon
201,atomo
202,cisne
203,sufro
204,sorda
205,quedo
206,teñir
207,novia
208,sordo
209,teson
210,curso
211,suena
212,queso
213,frase
214,flaco
215,rubio
216,drama
217,traje
218,calvo
219,suero
220,ebrio
221,arbol
222,gasto
223,golfo
224,cacho
225,primo
226,rombo
227,falsa
228,diosa
229,flaca
230,bahia
231,dupla
232,minar
233,ilesa
234,unica
235,viaje
236,anual
237,gansa
238,muela
239,zorro
240,nuevo
241,sutil
242,dogma
243,rimar
244,mente
245,libro
246,chula
247,reves
248,campo
249,chico
250,causa
251,perro
252,junto
253,fauno
254,digno
255,tabla
256,tocar
257,culta
258,piojo
259,pivot
260,droga
261,cifra
262,monte
263,zurda
264,cromo
265,kayak
266,frita
267,marea
268,oxido
269,salmo
270,fresa
271,nadar
272,presa
273,bambu
274,arena
275,acoso
276,boxer
277,panda
278,siega
279,siete
280,junio
281,india
282,marca
283,abajo
284,vacio
285,andes
286,decir
287,flama
288,helar
289,tarea
290,danza
291,poeta
292,negra
293,pacto
294,pollo
295,noble
296,raton
297,bolsa
298,lirio
299,turco
300,buzon
301,futon
302,perla
303,firme
304,amado
305,hinco
306,plaza
307,cabra
308,regio
309,cedro
310,turba
311,polio
312,tropa
313,luego
314,cargo
315,canal
316,grama
317,sabio
318,viudo
319,cocoa
320,unico
321,jaula
322,peral
323,pulpa
324,gripe
325,cielo
326,capta
327,movil
328,icono
329,canoa
330,valle
331,mixto
332,tunel
333,marco
334,bañar
335,vista
336,troya
337,hecho
338,meter
339,obvio
340,palma
341,guiar
342,regia
343,robot
344,baron
345,brujo
346,rotor
347,messi
348,punta
349,pedir
350,tarde
351,nobel
352,sidra
353,pegar
354,caoba
355,reina
356,segun
357,sueño
358,hielo
359,feria
360,mamba
361,abeja
362,carta
363,baila
364,pausa
365,error
366,rumbo
367,culto
368,panel
369,leona
370,pelar
371,sucia
372,polvo
373,cruel
374,amiga
375,padre
376,traga
377,liana
378,acera
379,samba
380,color
381,fumar
382,andar
383,cacao
384,norma
385,sanar
386,texto
387,dicta
388,dosis
389,seria
390,veloz
391,toque
392,latex
393,zurdo
394,blusa
395,arpia
396,cerca
397,reino
398,honor
399,abono
400,mando
401,grasa
402,soñar
403,caida
404,magro
405,copia
406,guion
407,video
408,cesto
409,oxido
410,modem
411,circo
412,cegar
413,coral
414,erizo
415,chica
416,huida
417,plano
418,acido
419,antro
420,total
